review_date,review_year,review_month,review_month_name,review_quarter,year_month
2007-03-08,2007,3,Mar,Q1,2007-03
2007-04-02,2007,4,Apr,Q2,2007-04
2007-05-28,2007,5,May,Q2,2007-05
2007-06-10,2007,6,Jun,Q2,2007-06
2007-07-29,2007,7,Jul,Q3,2007-07
2007-08-15,2007,8,Aug,Q3,2007-08
2007-09-05,2007,9,Sep,Q3,2007-09
2007-10-29,2007,10,Oct,Q4,2007-10
2007-11-03,2007,11,Nov,Q4,2007-11
2007-12-10,2007,12,Dec,Q4,2007-12
2008-01-15,2008,1,Jan,Q1,2008-01
2008-02-20,2008,2,Feb,Q1,2008-02
2008-03-05,2008,3,Mar,Q1,2008-03
2008-04-01,2008,4,Apr,Q2,2008-04
2008-05-26,2008,5,May,Q2,2008-05
2008-06-14,2008,6,Jun,Q2,2008-06
2008-07-29,2008,7,Jul,Q3,2008-07
2008-08-15,2008,8,Aug,Q3,2008-08
2008-09-02,2008,9,Sep,Q3,2008-09
2008-10-15,2008,10,Oct,Q4,2008-10
2008-11-15,2008,11,Nov,Q4,2008-11
2008-12-12,2008,12,Dec,Q4,2008-12
2009-01-15,2009,1,Jan,Q1,2009-01
2009-02-16,2009,2,Feb,Q1,2009-02
2009-03-08,2009,3,Mar,Q1,2009-03
2009-04-11,2009,4,Apr,Q2,2009-04
2009-05-18,2009,5,May,Q2,2009-05
2009-06-07,2009,6,Jun,Q2,2009-06
2009-07-26,2009,7,Jul,Q3,2009-07
2009-08-23,2009,8,Aug,Q3,2009-08
2009-09-19,2009,9,Sep,Q3,2009-09
2009-10-01,2009,10,Oct,Q4,2009-10
2009-11-05,2009,11,Nov,Q4,2009-11
2009-12-28,2009,12,Dec,Q4,2009-12
2010-01-19,2010,1,Jan,Q1,2010-01
2010-02-28,2010,2,Feb,Q1,2010-02
2010-03-10,2010,3,Mar,Q1,2010-03
2010-04-02,2010,4,Apr,Q2,2010-04
2010-05-02,2010,5,May,Q2,2010-05
2010-06-03,2010,6,Jun,Q2,2010-06
2010-07-02,2010,7,Jul,Q3,2010-07
2010-08-19,2010,8,Aug,Q3,2010-08
2010-09-01,2010,9,Sep,Q3,2010-09
2010-10-20,2010,10,Oct,Q4,2010-10
2010-11-24,2010,11,Nov,Q4,2010-11
2010-12-01,2010,12,Dec,Q4,2010-12
2011-01-14,2011,1,Jan,Q1,2011-01
2011-02-22,2011,2,Feb,Q1,2011-02
2011-03-01,2011,3,Mar,Q1,2011-03
2011-04-01,2011,4,Apr,Q2,2011-04
2011-05-20,2011,5,May,Q2,2011-05
2011-06-23,2011,6,Jun,Q2,2011-06
2011-07-13,2011,7,Jul,Q3,2011-07
2011-08-09,2011,8,Aug,Q3,2011-08
2011-09-20,2011,9,Sep,Q3,2011-09
2011-10-20,2011,10,Oct,Q4,2011-10
2011-11-14,2011,11,Nov,Q4,2011-11
2011-12-03,2011,12,Dec,Q4,2011-12
2012-01-26,2012,1,Jan,Q1,2012-01
2012-02-14,2012,2,Feb,Q1,2012-02
2012-03-22,2012,3,Mar,Q1,2012-03
2012-04-25,2012,4,Apr,Q2,2012-04
2012-05-31,2012,5,May,Q2,2012-05
2012-06-24,2012,6,Jun,Q2,2012-06
2012-07-16,2012,7,Jul,Q3,2012-07
2012-08-11,2012,8,Aug,Q3,2012-08
2012-09-27,2012,9,Sep,Q3,2012-09
2012-10-17,2012,10,Oct,Q4,2012-10
